segment_id,highway_code,corridor_name,from_name,to_name,from_district_id,to_district_id,importance,lanes,length_km,terrain,avg_slope_deg,elevation_m,soil_type,bridge_count,surface_quality,dist_to_river_km
SEG-0054,NH-510,Gangtok - Namchi - Gyalshing (South & West Sikkim),Namchi,Gyalshing,D-SK-03,D-SK-04,state,2,16.34,mountain,32.8,1727,weathered_rock,4,fair,16.23
SEG-0055,NH-510,Gangtok - Namchi - Gyalshing (South & West Sikkim),Gyalshing,Yuksom,D-SK-04,D-SK-04,state,2,9.73,mountain,37.5,1780,weathered_rock,3,fair,12.17
SEG-0056,NH-15,Tezpur - Itanagar - North Lakhimpur,Tezpur,Itanagar,D-AS-09,D-AR-01,national,2,94.3,hilly,13.0,259,lateritic,2,fair,15.63
SEG-0057,NH-15,Tezpur - Itanagar - North Lakhimpur,Itanagar,North Lakhimpur,D-AR-01,D-AS-09,national,2,52.2,hilly,21.7,259,lateritic,0,fair,13.39
SEG-0058,NH-13,Trans-Arunachal: Itanagar - Ziro - Aalo - Pasighat,Itanagar,Ziro,D-AR-01,D-AR-04,national,2,55.82,mountain,27.3,1002,weathered_rock,3,fair,3.29
SEG-0059,NH-13,Trans-Arunachal: Itanagar - Ziro - Aalo - Pasighat,Ziro,Daporijo,D-AR-04,D-AR-06,national,2,61.83,mountain,35.4,1092,weathered_rock,7,fair,3.99
SEG-0060,NH-13,Trans-Arunachal: Itanagar - Ziro - Aalo - Pasighat,Daporijo,Aalo,D-AR-06,D-AR-06,national,2,60.75,mountain,40.2,620,weathered_rock,3,fair,0.91
SEG-0061,NH-13,Trans-Arunachal: Itanagar - Ziro - Aalo - Pasighat,Aalo,Pasighat,D-AR-06,D-AR-05,national,2,53.47,mountain,24.2,386,weathered_rock,4,fair,11.73
SEG-0062,NH-13-W,Bhalukpong - Bomdila - Tawang (border road),Tezpur,Bhalukpong,D-AS-09,D-AR-03,national,1,44.74,mountain,28.8,1247,weathered_rock,0,good,15.85
SEG-0063,NH-13-W,Bhalukpong - Bomdila - Tawang (border road),Bhalukpong,Bomdila,D-AR-03,D-AR-03,national,1,35.45,mountain,25.7,2415,weathered_rock,0,good,10.94
SEG-0064,NH-13-W,Bhalukpong - Bomdila - Tawang (border road),Bomdila,Tawang,D-AR-03,D-AR-02,national,1,66.29,mountain,27.6,2731,weathered_rock,1,poor,16.24
SEG-0065,NH-315,Pasighat - Roing - Tezu (East Arunachal),Pasighat,Roing,D-AR-05,D-AR-09,state,1,49.23,mountain,24.2,1060,weathered_rock,3,fair,8.05
SEG-0066,NH-315,Pasighat - Roing - Tezu (East Arunachal),Roing,Tezu,D-AR-09,D-AR-07,state,1,40.68,mountain,40.9,1099,weathered_rock,1,fair,9.37
SEG-0067,NH-315,Pasighat - Roing - Tezu (East Arunachal),Tezu,Namsai,D-AR-07,D-AR-07,state,1,38.22,hilly,17.3,231,lateritic,2,fair,7.86
SEG-0068,NH-27-DH,Lumding - Haflong - Silchar (Dima Hasao hill route),Lumding,Haflong,D-AS-08,D-AS-07,state,1,66.95,mountain,40.7,433,weathered_rock,4,poor,10.09
SEG-0069,NH-27-DH,Lumding - Haflong - Silchar (Dima Hasao hill route),Haflong,Silchar,D-AS-07,D-AS-06,state,1,43.86,mountain,20.0,352,weathered_rock,5,poor,8.23
SEG-0070,NH-36,Nagaon - Diphu - Dimapur (Karbi Anglong),Nagaon,Diphu,D-AS-02,D-AS-08,state,2,93.38,hilly,17.5,123,lateritic,2,good,5.47
SEG-0071,NH-36,Nagaon - Diphu - Dimapur (Karbi Anglong),Diphu,Dimapur,D-AS-08,D-NL-02,state,2,30.67,hilly,17.3,165,lateritic,3,fair,4.43
